Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Categories,Countries,Barcode,Nutri-Score,Ecoscore,Comprehensive Score,Scaled Score,Category
Véritable petit beurre,1832.0,23.0,7.5,1.39,8.0,3.0,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Petits beurres","en:france, en:guadeloupe, en:reunion, en:switzerland",7622210988034,1,75,30.6,4.0,Good
Céleri rémoulade au fromage blanc,577.0,2.0,1.0,0.88,2.0,3.0,0,"Plant-based foods and beverages, Plant-based foods, Meals, Prepared vegetables, Celeriac in remoulade sauce",en:france,3083681148640,5,78,34.2,4.0,Good
Wraps,1264.0,2.1,1.2,1.0,9.1,1.6,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Flatbreads,White breads,Wheat breads,Wheat flatbreads","en:france, en:spain, en:switzerland",8410076472953,4,76,32.800000000000004,4.0,Good
Snack poppé T&H,1700.0,6.19,0.952,2.2,16.2,8.57,0,"Snacks, Snacks salés, Amuse-gueules, Biscuits apéritifs, Biscuits apéritifs soufflés, en:Apéritif, en:Biscuits apéritifs, en:Snacks salés",en:france,3245550078681,3,72,30.6,4.0,Good
petit déjeuner miel et pépites de chocolat,1864.0,28.0,2.5,0.69,7.3,5.7,0,"Snacks,Petit-déjeuners,Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits secs,Biscuit aux céréales pour petit déjeuner enrichis en vitamines et minéraux","en:belgium, en:france, en:germany, en:poland, en:switzerland, en:united-kingdom",16811207,2,81,33.6,4.0,Good
Oat flakes,1566.0,0.7,1.3,0.0,14.0,10.0,0,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats","en:belgium, en:france, en:greece, en:guadeloupe, en:italy, en:morocco, en:poland, en:romania, en:spain",3560070614202,5,76,33.400000000000006,4.0,Good
Tartimiel® Lune de Miel® doseur 250 g,1339.0,80.0,0.0,5e-05,0.0,0.0,0,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys, Liquid honeys, en:flower-honeys","en:france, en:reunion, en:switzerland",3088540004440,2,76,31.6,4.0,Good
Seed Sensations,1160.0,4.09,0.682,0.932,10.0,5.68,0,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Multigrain sliced breads","en:france, en:united-kingdom",5010003064744,5,78,34.2,4.0,Good
Grilletines blé complet,1760.0,7.3,2.0,0.87,13.0,6.7,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Toasts,Toasted bread rolls",en:france,3182180002115,4,79,34.0,4.0,Good
Bio biscuits sésame,2015.0,20.0,2.3,0.5,9.6,4.7,0,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits",en:france,20842499,3,74,31.400000000000002,4.0,Good
Biscuits BIO NUTRI + à l'avoine complet,1858.0,16.0,1.4,0.35,9.1,7.5,0,"Snacks, Breakfasts, Sweet snacks, Biscuits and cakes, Biscuits, Dry biscuits, Breakfast biscuit, Oatmeal cookies",en:france,3229820794532,4,74,32.0,4.0,Good
Toast brioché,1842.0,10.0,5.0,1.09,14.0,3.4,0,"Plantaardige levensmiddelen en dranken,Plantaardige levensmiddelen,Snacks,Granen en aardappels,Zoete snacks,en:Sweet pastries and pies,Broden,Viennoiseries,Brioches,Beschuiten,Toasts",en:france,3392460488809,2,89,36.800000000000004,4.0,Good
Pringles Original,2253.0,1.4,6.6,1.1,5.9,3.5,0,"Snacks,Snacks salés,Amuse-gueules,Chips et frites,Chips,Tuiles salées","en:belgium, en:denmark, en:france, en:germany, en:italy, en:netherlands, en:nigeria, en:spain",5053990127726,2,74,30.8,4.0,Good
Maizena Fleur de Maïs Sans Gluten 400g,1487.0,0.5,0.1,0.01,0.5,1.0,0,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Starches, Cereal starches, Corn starch, en:cooking-helpers","en:belgium, en:canada, en:france, en:germany, en:martinique, en:reunion, en:switzerland",8712100338694,3,85,35.8,4.0,Good
Pomme de terre nature,2250.0,0.5,3.7,1.1,6.2,3.9,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Snacks salés, Amuse-gueules, Chips et frites, Surgelés, Chips, Chips de pommes de terre, Chips à l'ancienne, Chips de pommes de terre à l'huile de tournesol",en:france,3168930167983,3,73,31.000000000000004,4.0,Good
