Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Nutri-Score,Ecoscore
Granola,0.5551351351351351,0.28,0.21052631578947367,0.06982248520710059,0.08952959028831563,0.05223880597014925,0.0,1,40
Sunny Via Agave syrup squeeze bottle imp,0.3618918918918919,0.79,0.0017543859649122807,1.4792899408284026e-06,0.007587253414264036,0.0,0.0,2,30
Weetabix,0.40945945945945944,0.044000000000000004,0.010526315789473684,0.01627218934911243,0.18209408194233687,0.14925373134328357,0.0,5,28
Nestlé Dessert,0.6175675675675676,0.46399999999999997,0.3543859649122807,0.000591715976331361,0.09104704097116843,0.10895522388059702,0.0,1,43
Monaco,0.6224324324324324,0.055999999999999994,0.3157894736842105,0.12426035502958581,0.18209408194233687,0.035820895522388055,0.0,1,66
Muesli Superfruits,0.40702702702702703,0.14,0.014035087719298246,0.000591715976331361,0.16691957511380878,0.14029850746268657,0.2,5,87
Pain grillé au blé complet,0.43864864864864866,0.026000000000000002,0.03508771929824561,0.10650887573964497,0.18209408194233687,0.07611940298507462,0.0,3,70
pain de mie grandes tranches spécial sandwich complet,0.2943243243243243,0.05,0.008771929824561403,0.0591715976331361,0.125948406676783,0.09402985074626866,0.0,5,74
Belvita Original Petit-Déjeuner miel et pépites de chocolat,0.5037837837837837,0.28,0.043859649122807015,0.04082840236686391,0.11077389984825492,0.08507462686567165,0.0,2,45
St hubert bio doux 230g ss hdp,0.55,0.0,0.3508771929824561,0.026627218934911243,0.0,0.0,0.0,2,79
Biscuits goût chocolat,0.5254054054054054,0.3,0.15087719298245614,0.027810650887573965,0.09863429438543246,0.058208955223880594,0.0,2,31
Pains au lait x10,0.40135135135135136,0.11,0.07017543859649122,0.06508875739644972,0.13050075872534142,0.05223880597014925,0.0,3,71
Crema de cacahuete,0.6913513513513514,0.036000000000000004,0.11929824561403508,0.001183431952662722,0.4552352048558421,0.14776119402985075,0.0,5,40
Pain de mie grandes tranches Seigle & Graines 500g,0.33675675675675676,0.042,0.017543859649122806,0.056804733727810655,0.18209408194233687,0.10746268656716418,0.0,5,90
Excellence 85% Cacao Rich Dark,0.6535135135135135,0.15,0.47368421052631576,0.001183431952662722,0.1896813353566009,0.0,0.0,1,26
Fourrés - Chocolat Noir,0.5451351351351351,0.27,0.12105263157894737,0.028994082840236687,0.11532625189681334,0.0791044776119403,0.0,2,70
mayonnaise de Dijon,0.7327027027027028,0.015,0.0982456140350877,0.10650887573964497,0.018209408194233685,0.007462686567164179,0.0,1,46
Doux 70% noir subtil,0.6837837837837838,0.29,0.5087719298245614,0.0016272189349112428,0.1047040971168437,0.0,0.0,1,15
Biscuit soja orange,0.5043243243243243,0.18,0.024561403508771926,0.021301775147928994,0.16691957511380878,0.07313432835820896,0.0,4,64
Нутела,0.6086486486486486,0.563,0.18596491228070175,0.0063313609467455624,0.09559939301972685,0.0,0.0,1,21
RICORE Original,0.15594594594594594,0.091,0.0017543859649122807,0.013609467455621303,0.04097116843702579,0.6761194029850746,0.0,1,-5
Figue & son,0.5089189189189189,0.16,0.02982456140350877,0.01124260355029586,0.1411229135053111,0.19402985074626866,0.0,5,60
Tomato Ketchup,0.11756756756756757,0.228,0.0017543859649122807,0.10650887573964497,0.018209408194233685,0.0,0.0,2,80
pulpe de tomates,0.02945945945945946,0.027999999999999997,0.0,0.01775147928994083,0.018209408194233685,0.0,0.0,5,97
Tartines craquantes quinoa - pois chiche,0.43324324324324326,0.006,0.008771929824561403,0.02958579881656805,0.14567526555386948,0.07014925373134329,0.0,5,95
Véritable Petit Beurre Pocket,0.5005405405405405,0.23,0.13157894736842105,0.07692307692307693,0.12291350531107738,0.05671641791044776,0.0,2,72
Fresh Square 0% - Plain,0.08810810810810811,0.015,0.0017543859649122807,0.08875739644970415,0.26555386949924126,0.0,0.0,4,55
Flocons d'avoine complète,0.4243243243243243,0.011000000000000001,0.02631578947368421,0.000591715976331361,0.16691957511380878,0.13432835820895522,0.0,5,76
Pomme 🍏 🍎 Noisette🥜,0.514054054054054,0.11,0.02631578947368421,0.000591715976331361,0.14871016691957512,0.09850746268656715,0.0,5,60
Weetabix produit à base de blé complet 100%,0.41081081081081083,0.00853,0.0018771929824561403,0.003076923076923077,0.18209408194233687,0.15074626865671642,0.0,5,39
biscotte,0.43432432432432433,0.054000000000000006,0.03859649122807018,0.06627218934911244,0.22761760242792106,0.1791044776119403,0.0,3,79
Harrys brioche tressee nature au sucre perle sans additifs 500g,0.40432432432432436,0.13,0.017543859649122806,0.04733727810650888,0.13050075872534142,0.06716417910447761,0.0,4,47
Sardines Huile d'Olive Vierge Extra,0.25675675675675674,0.0,0.06140350877192982,0.06982248520710059,0.3490136570561456,0.0,0.0,3,31
Caprice des dieux,0.3727027027027027,0.001,0.3684210526315789,0.08284023668639054,0.22761760242792106,0.0,0.0,2,57
Belvita Brut & 5 céréales complètes,0.4954054054054054,0.22,0.024561403508771926,0.08284023668639054,0.11836115326251896,0.09104477611940298,0.0,2,54
Dark Chocolate 70%,0.6389189189189189,0.084,0.43859649122807015,0.001775147928994083,0.1274658573596358,0.0,0.0,2,16
"Muesli Raisin, Figue, Abricot",0.40135135135135136,0.14,0.015789473684210527,0.001775147928994083,0.16691957511380878,0.14925373134328357,0.0,5,87
High Protein Schoko Pudding,0.08675675675675676,0.04,0.017543859649122806,0.007100591715976332,0.15174506828528073,0.0,0.0,5,82
BjORG AMANDE ALMOND SANS SUGRES- NO SUGAR,0.027567567567567567,0.005,0.0035087719298245615,0.002958579881656805,0.01062215477996965,0.007462686567164179,0.0,4,80
Baked Beans in Tomato Sauce,0.09162162162162163,0.043,0.0017543859649122807,0.034911242603550295,0.07283763277693474,0.058208955223880594,0.34,5,85
"Alpro Fermentiertes Sojaprodukt mit Kokosnuss, 500g",0.06243243243243243,0.021,0.01929824561403509,0.01893491124260355,0.05918057663125948,0.011940298507462687,0.0,4,79
Thé - Biscuits,0.5154054054054054,0.26,0.1175438596491228,0.04142011834319527,0.11380880121396053,0.050746268656716415,0.0,2,46
NESQUIK Cacao,0.4416216216216216,0.751,0.028070175438596492,0.0242603550295858,0.07738998482549315,0.11492537313432837,0.0,4,-3
Bio Chocolat Noir Cacao 70%,0.6413513513513514,0.28,0.43859649122807015,0.000591715976331361,0.12898330804248861,0.16567164179104477,0.0,2,53
Véritable Petit Beurre 🧈,0.12513513513513513,0.057999999999999996,0.03508771929824561,0.020710059171597635,0.030349013657056143,0.011940298507462687,0.0,3,71
Brioche Tranchée Bio 400g,0.39756756756756756,0.13,0.017543859649122806,0.05325443786982249,0.13201820940819423,0.03283582089552239,0.0,4,69
Copos de avena,0.41621621621621624,0.0075,0.021929824561403508,0.0014792899408284025,0.20485584218512898,0.14925373134328357,0.0,5,85
NESTLE CHOCAPIC Céréales 750g,0.44270270270270273,0.22399999999999998,0.03508771929824561,0.013017751479289942,0.13353566009104703,0.11194029850746269,0.0,5,30
100% mie complet 500g,0.2845945945945946,0.055,0.007017543859649123,0.06508875739644972,0.11380880121396053,0.09701492537313433,0.0,5,84
Genoese and Basil Pesto,0.5486486486486487,0.05,0.09298245614035087,0.18934911242603553,0.07132018209408193,0.04477611940298507,0.0,1,56
Harrys beau & bon pain de mie farine de ble cereales & graines 320g,0.32594594594594595,0.035,0.012280701754385963,0.0591715976331361,0.18209408194233687,0.08955223880597014,0.0,5,80
Harrys pain de mie 100% mie nature sans croute 500g,0.30405405405405406,0.077,0.007017543859649123,0.06508875739644972,0.1062215477996965,0.05671641791044776,0.0,4,86
Sablés Anglais L'Original,0.5472972972972973,0.151,0.17719298245614035,0.07692307692307693,0.1062215477996965,0.05522388059701493,0.0,1,63
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,0.28081081081081083,0.03,0.30350877192982456,0.06508875739644972,0.08952959028831563,0.0,0.0,2,58
Skyr,0.06432432432432432,0.039,0.0017543859649122807,0.0053017751479289945,0.15174506828528073,0.0,0.0,5,78
Nocciolata bio,0.6151351351351352,0.51,0.09999999999999999,0.007100591715976332,0.12291350531107738,0.05373134328358209,0.0,2,54
Pâte à tartiner Nutella noisettes et cacao - 750g,0.6086486486486486,0.563,0.18596491228070175,0.0063313609467455624,0.09559939301972685,0.0,0.0,1,21
Salakis 100% Brebis,0.3081081081081081,0.008,0.28421052631578947,0.0004142011834319527,0.2382397572078907,0.0,0.0,3,31
Tomato Ketchup BIO,0.12864864864864864,0.24800000000000003,0.0017543859649122807,0.10059171597633136,0.0212443095599393,0.0,0.0,2,94
Carré Frais - Nature,0.21675675675675676,0.025,0.19298245614035087,0.07100591715976332,0.18209408194233687,0.0,0.0,2,57
Lightly sea salted crisps,0.5383783783783784,0.0064,0.042105263157894736,0.04881656804733728,0.09408194233687404,0.08208955223880597,0.0,4,83
2 Bars Milk and Hazelnuts,0.6443243243243243,0.41200000000000003,0.30350877192982456,0.01609467455621302,0.13050075872534142,0.029850746268656716,0.0,1,22
Biscottes aux céréales et aux graines,0.4581081081081081,0.04,0.021052631578947368,0.10059171597633136,0.212443095599393,0.11194029850746269,0.0,3,86
Maizena Fleur de Maïs Sans Gluten 400g,0.4018918918918919,0.005,0.0017543859649122807,0.000591715976331361,0.007587253414264036,0.014925373134328358,0.0,3,86
"Thé noir glacé, saveur pêche intense",0.021621621621621623,0.043,0.0,0.0014792899408284025,0.0,0.0,0.0,2,61
Corn Flakes,0.4335135135135135,0.08,0.0035087719298245615,0.06508875739644972,0.1062215477996965,0.04477611940298507,0.0,4,29
St Môret,0.23,0.03,0.23157894736842102,0.07100591715976332,0.125948406676783,0.0,0.0,2,50
Vanille au Soja,0.07567567567567568,0.075,0.007017543859649123,0.01183431952662722,0.05614567526555387,0.013432835820895522,0.0,5,81
Croustillant Chocolat,0.49594594594594593,0.15,0.07543859649122807,0.028402366863905328,0.14719271623672228,0.14626865671641792,0.0,3,50
Ketchup,0.11756756756756757,0.222,0.0017543859649122807,0.10650887573964497,0.018209408194233685,0.0,0.0,3,80
La bûche Sainte-Maure (Poitou-Charentes,0.3264864864864865,0.01,0.2807017543859649,0.08875739644970415,0.30349013657056145,0.0,0.0,2,31
Agavesirap,0.3445945945945946,0.75,0.0017543859649122807,0.001775147928994083,0.0015174506828528073,0.007462686567164179,0.0,2,44
NESQUIK Moins de Sucres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20
"Alpro Mandeldrink, Original 1L",0.025135135135135135,0.024,0.0017543859649122807,0.008284023668639055,0.006069802731411229,0.005970149253731343,0.0,4,77
ProActiv Margarine Tartine,0.3497297297297297,0.005,0.13333333333333333,0.01183431952662722,0.007587253414264036,0.0,0.0,3,62
Сушени и захаросани боровинки,0.3864864864864865,0.705,0.0017543859649122807,0.001775147928994083,0.01062215477996965,0.08805970149253732,0.0,3,29
Oméga 3 Doux Tartine & Cuisson,0.52,0.0,0.2631578947368421,0.02485207100591716,0.0,0.0,0.0,3,52
Country Crisp 4 noix,0.5302702702702703,0.17500000000000002,0.045614035087719294,0.001775147928994083,0.1547799696509863,0.09104477611940298,0.0,4,29
Noir - Noisettes Entières,0.6394594594594595,0.4,0.2807017543859649,0.000591715976331361,0.11077389984825492,0.11641791044776119,0.0,1,29
Granola L'original,0.5686486486486486,0.36,0.24561403508771928,0.0591715976331361,0.08649468892261002,0.04925373134328358,0.0,1,43
St Hubert,0.52,0.0,0.2807017543859649,0.02366863905325444,0.0,0.0,0.0,3,54
Sauce soja,0.08783783783783784,0.006,0.0,1.0,0.15174506828528073,0.0,0.0,3,95
Sour Cream & Onion,0.5921621621621622,0.027000000000000003,0.11228070175438597,0.07692307692307693,0.09104704097116843,0.050746268656716415,0.0,2,67
Special Muesli 30% fruits & noix,0.41081081081081083,0.172,0.03508771929824561,0.001775147928994083,0.1547799696509863,0.13134328358208955,0.0,5,73
Spaghetti N.5,0.4110810810810811,0.035,0.008771929824561403,0.000591715976331361,0.19726858877086492,0.04477611940298507,0.0,5,73
Kreikkalainen jogurtti,0.13594594594594595,0.032,0.11578947368421051,0.00591715976331361,0.06980273141122913,0.005970149253731343,0.0,3,80
Biscuit lait chocolat,0.5121621621621621,0.22,0.04736842105263158,0.04023668639053255,0.15174506828528073,0.08805970149253732,0.0,3,74
Biscuit raisins,0.5016216216216216,0.17,0.021052631578947368,0.01183431952662722,0.125948406676783,0.07611940298507462,0.0,5,60
Hafer Flocken Zart,0.4218918918918919,0.008,0.01929824561403509,0.0,0.20030349013657053,0.14477611940298507,0.0,5,91
Maille Moutarde Fine de Dijon L'Originale Bocal 360g,0.16216216216216217,0.02,0.012280701754385963,0.2899408284023669,0.11532625189681334,0.05671641791044776,0.0,3,66
Grilletine au froment sans sucres ajoutés,0.48405405405405405,0.017,0.03508771929824561,0.05266272189349113,0.19726858877086492,0.11044776119402985,0.0,5,85
Brioche moins de sucre,0.3659459459459459,0.09300000000000001,0.01929824561403509,0.0591715976331361,0.1274658573596358,0.10746268656716418,0.0,3,49
Bitter Extra Kraftig,0.6391891891891892,0.01,0.5263157894736842,0.04142011834319527,0.212443095599393,0.0,0.0,1,24
Noir Extra,0.5727027027027027,0.52,0.3157894736842105,0.000591715976331361,0.07435508345978756,0.10746268656716418,0.0,1,29
Oat,0.05189189189189189,0.033,0.0035087719298245615,0.004585798816568048,0.012139605462822459,0.0208955223880597,0.0,5,61
Tomato Ketchup 910 g flacon,0.11756756756756757,0.228,0.0017543859649122807,0.10650887573964497,0.018209408194233685,0.0,0.0,2,78
Nutella pâte à tartiner aux noisettes et au cacao,0.6086486486486486,0.563,0.18596491228070175,0.0063313609467455624,0.09559939301972685,0.0,0.0,1,32
Tomato ketchup 50% moins de sucres & de sel,0.07324324324324324,0.11,0.0,0.05325443786982249,0.0212443095599393,0.0,0.0,3,78
Petites Madeleines,0.4737837837837838,0.23,0.03508771929824561,0.042011834319526625,0.08345978755690439,0.022388059701492536,0.0,2,83
Spreadable Slightly Salted,0.7678378378378379,0.006,0.6140350877192982,0.052366863905325446,0.007587253414264036,0.0,0.0,2,25
CARTE D'OR Glace Crème Glacée Vanille de Madagascar 900ml,0.10837837837837838,0.09,0.05087719298245614,0.003550295857988166,0.018209408194233685,0.0025373134328358212,0.0,3,94
Sirop d'érable ambré goût riche,0.30783783783783786,0.66,0.0,0.001183431952662722,0.0,0.0,0.0,2,82
Cruesli Chocolat noir,0.5151351351351351,0.16,0.08596491228070176,0.028402366863905328,0.12291350531107738,0.14925373134328357,0.0,3,25
Véritable Petit Écolier Chocolat au Lait,0.5632432432432433,0.39,0.24561403508771928,0.037278106508875745,0.09408194233687404,0.0417910447761194,0.0,1,52
Primevère Tartine & Cuisson,0.6294594594594595,0.0,0.2982456140350877,0.01775147928994083,0.0,0.0,0.0,3,65
Cookie🍪 cacao pépites Sans Sucre,0.05027027027027027,0.0,0.007017543859649123,0.001183431952662722,0.013657056145675264,0.014925373134328358,0.0,5,55
ricore,0.15594594594594594,0.091,0.0017543859649122807,0.013609467455621303,0.04097116843702579,0.6761194029850746,0.0,1,-20
Le Bon Paris à l'Étouffée,0.1245945945945946,0.005,0.017543859649122806,0.10650887573964497,0.3186646433990895,0.007462686567164179,0.0,3,25
"Bâtonnets de céréales fourrés (47,5 %) au chocolat - Cracotte Chocolat",0.5162162162162163,0.3,0.08964912280701755,0.015562130177514795,0.11396054628224582,0.07164179104477611,0.0,2,75
"Chocolat noir extra-fin, traditionnel.",0.6513513513513514,0.17,0.5087719298245614,0.00044378698224852074,0.15174506828528073,0.0,0.0,1,39
PRESIDENT CAMEMBERT 250g,0.3018918918918919,0.0,0.2631578947368421,0.08284023668639054,0.30349013657056145,0.0,0.0,2,48
Pâte à tartiner,0.5894594594594594,0.59,0.0894736842105263,0.00591715976331361,0.08194233687405159,0.05223880597014925,0.0,2,31
Beurre bio cacahuète,0.6959459459459459,0.057999999999999996,0.11929824561403508,0.001775147928994083,0.39453717754172984,0.12388059701492538,0.0,5,66
La Biscotte 96% de céréales,0.46135135135135136,0.068,0.05964912280701754,0.06982248520710059,0.16691957511380878,0.05223880597014925,0.0,2,66
